?? TRANSACTION LOGS,,,
account_id,amount,type,timestamp
E010,2883,transfer,2024-03-02 10:00:00
E014,4265,transfer,2024-03-02 13:00:00
E008,3337,withdrawal,2024-03-03 08:00:00
E019,4984,purchase,2024-03-03 10:00:00
E012,3564,withdrawal,2024-03-03 12:00:00
E010,2350,withdrawal,2024-03-03 13:00:00
E012,690,transfer,2024-03-03 14:00:00
E019,4640,withdrawal,2024-03-03 15:00:00
E012,1165,withdrawal,2024-03-03 17:00:00
E020,1352,withdrawal,2024-03-04 10:00:00
E006,507,withdrawal,2024-03-04 12:00:00
E009,2471,transfer,2024-03-05 08:00:00
E018,4701,transfer,2024-03-05 14:00:00
E011,639,transfer,2024-03-05 16:00:00
E020,2659,transfer,2024-03-05 17:00:00
E020,3624,purchase,2024-03-05 18:00:00
E016,1672,purchase,2024-03-06 10:00:00
E012,2976,withdrawal,2024-03-06 11:00:00
E011,767,withdrawal,2024-03-06 13:00:00
E016,3627,purchase,2024-03-06 14:00:00
E007,2569,purchase,2024-03-06 20:00:00
E011,790,withdrawal,2024-03-07 08:00:00
E011,1915,transfer,2024-03-07 09:00:00
E004,1299,transfer,2024-03-08 10:00:00
E006,1186,transfer,2024-03-09 11:00:00
E006,1126,transfer,2024-03-09 12:00:00
E006,1032,transfer,2024-03-09 12:00:00
E006,846,transfer,2024-03-09 13:00:00
E006,1117,transfer,2024-03-09 14:00:00
E007,755,transfer,2024-03-09 15:00:00
E007,1044,transfer,2024-03-09 16:00:00
E007,707,transfer,2024-03-09 16:00:00
E007,1046,transfer,2024-03-09 17:00:00
E008,841,withdrawal,2024-03-09 18:00:00
E008,874,withdrawal,2024-03-09 18:00:00
E008,713,withdrawal,2024-03-09 18:00:00
E007,867,transfer,2024-03-09 18:00:00
E008,885,withdrawal,2024-03-09 20:00:00
E008,899,withdrawal,2024-03-09 21:00:00
E006,823,transfer,2024-03-10 10:00:00
E006,1135,transfer,2024-03-10 10:00:00
E006,985,transfer,2024-03-10 10:00:00
E006,1158,transfer,2024-03-10 12:00:00
E006,816,transfer,2024-03-10 12:00:00
E006,920,transfer,2024-03-10 14:00:00
E006,1143,transfer,2024-03-10 14:00:00
E007,1051,transfer,2024-03-10 16:00:00
E007,811,transfer,2024-03-10 17:00:00
E007,1032,transfer,2024-03-10 17:00:00
E007,769,transfer,2024-03-10 17:00:00
E005,638,purchase,2024-03-10 17:00:00
E007,855,transfer,2024-03-10 17:00:00
E007,914,transfer,2024-03-10 18:00:00
E007,950,transfer,2024-03-10 18:00:00
E008,659,withdrawal,2024-03-10 18:00:00
E008,659,withdrawal,2024-03-10 19:00:00
E008,827,withdrawal,2024-03-10 19:00:00
E009,337,purchase,2024-03-10 19:00:00
E008,808,withdrawal,2024-03-10 20:00:00
E008,878,withdrawal,2024-03-10 20:00:00
E008,832,withdrawal,2024-03-10 20:00:00
E008,679,withdrawal,2024-03-10 21:00:00
E019,4086,withdrawal,2024-03-11 08:00:00
E002,566,transfer,2024-03-11 09:00:00
E006,1139,transfer,2024-03-11 11:00:00
E006,970,transfer,2024-03-11 11:00:00
E006,1003,transfer,2024-03-11 12:00:00
E007,797,transfer,2024-03-11 14:00:00
E006,1191,transfer,2024-03-11 14:00:00
E008,610,withdrawal,2024-03-11 18:00:00
E008,832,withdrawal,2024-03-11 18:00:00
E007,764,transfer,2024-03-11 18:00:00
E008,705,withdrawal,2024-03-11 18:00:00
E007,806,transfer,2024-03-11 18:00:00
E007,1028,transfer,2024-03-11 18:00:00
E012,3621,purchase,2024-03-11 18:00:00
E008,710,withdrawal,2024-03-11 19:00:00
E002,3602,transfer,2024-03-12 01:00:00
E003,4635,transfer,2024-03-12 02:00:00
E002,3884,transfer,2024-03-12 04:00:00
E002,5470,transfer,2024-03-12 04:00:00
E002,3498,transfer,2024-03-12 04:00:00
E003,4917,transfer,2024-03-12 05:00:00
E003,3645,transfer,2024-03-12 05:00:00
E002,3355,transfer,2024-03-12 06:00:00
E003,4698,transfer,2024-03-12 06:00:00
E003,3319,transfer,2024-03-12 06:00:00
E006,867,transfer,2024-03-12 10:00:00
E006,858,transfer,2024-03-12 10:00:00
E006,1103,transfer,2024-03-12 10:00:00
E004,3418,purchase,2024-03-12 10:00:00
E013,3539,transfer,2024-03-12 10:00:00
E019,2747,withdrawal,2024-03-12 10:00:00
E006,1196,transfer,2024-03-12 11:00:00
E006,889,transfer,2024-03-12 12:00:00
E019,4592,withdrawal,2024-03-12 14:00:00
E006,866,transfer,2024-03-12 14:00:00
E007,1005,transfer,2024-03-12 14:00:00
E007,828,transfer,2024-03-12 15:00:00
E007,883,transfer,2024-03-12 15:00:00
E007,726,transfer,2024-03-12 15:00:00
E001,3866,purchase,2024-03-12 17:00:00
E007,943,transfer,2024-03-12 17:00:00
E008,656,withdrawal,2024-03-12 18:00:00
E008,765,withdrawal,2024-03-12 18:00:00
E007,931,transfer,2024-03-12 18:00:00
E004,2660,transfer,2024-03-12 18:00:00
E008,741,withdrawal,2024-03-12 19:00:00
E012,2652,withdrawal,2024-03-12 20:00:00
E010,1576,purchase,2024-03-12 20:00:00
E008,713,withdrawal,2024-03-12 22:00:00
E008,785,withdrawal,2024-03-12 22:00:00
E008,815,withdrawal,2024-03-12 22:00:00
E004,2968,withdrawal,2024-03-13 09:00:00
E020,3869,withdrawal,2024-03-13 09:00:00
E020,1400,transfer,2024-03-13 12:00:00
E005,4739,withdrawal,2024-03-14 09:00:00
E013,4392,purchase,2024-03-14 12:00:00
E014,2876,transfer,2024-03-14 14:00:00
E003,4966,withdrawal,2024-03-14 15:00:00
E003,2636,withdrawal,2024-03-14 18:00:00
E003,799,purchase,2024-03-15 09:00:00
E014,4797,transfer,2024-03-15 12:00:00
E009,4803,purchase,2024-03-15 16:00:00
E014,967,purchase,2024-03-15 17:00:00
E017,1335,purchase,2024-03-16 09:00:00
E018,1861,transfer,2024-03-16 11:00:00
E017,707,transfer,2024-03-16 15:00:00
E020,4446,transfer,2024-03-16 16:00:00
E015,659,transfer,2024-03-16 18:00:00
E009,3166,purchase,2024-03-17 09:00:00
E017,1842,purchase,2024-03-17 11:00:00
E011,1146,withdrawal,2024-03-18 09:00:00
E014,2337,purchase,2024-03-18 09:00:00
E017,1034,withdrawal,2024-03-18 11:00:00
E005,351,purchase,2024-03-18 11:00:00
E008,3686,transfer,2024-03-18 16:00:00
E003,2523,purchase,2024-03-18 20:00:00
E018,1985,withdrawal,2024-03-19 18:00:00
E016,3900,withdrawal,2024-03-20 15:00:00
E013,3448,transfer,2024-03-21 08:00:00
E013,2427,transfer,2024-03-21 10:00:00
E019,1642,transfer,2024-03-21 15:00:00
E015,3573,transfer,2024-03-21 15:00:00
E020,4660,purchase,2024-03-21 18:00:00
E010,3310,purchase,2024-03-21 19:00:00
