?? CALL DETAIL RECORDS (CDR),,,
caller_id,receiver_id,duration_sec,timestamp
E019,E018,399,2024-03-02 09:00:00
E001,E002,58,2024-03-02 11:00:00
E001,E002,33,2024-03-02 13:00:00
E001,E002,116,2024-03-02 17:00:00
E013,E018,381,2024-03-03 08:00:00
E001,E003,34,2024-03-03 09:00:00
E017,E014,331,2024-03-03 09:00:00
E016,E014,85,2024-03-03 11:00:00
E013,E015,433,2024-03-03 13:00:00
E020,E017,221,2024-03-03 16:00:00
E001,E002,59,2024-03-04 17:00:00
E014,E019,250,2024-03-04 17:00:00
E016,E015,501,2024-03-04 18:00:00
E013,E018,366,2024-03-05 10:00:00
E001,E003,30,2024-03-05 11:00:00
E018,E017,381,2024-03-05 12:00:00
E001,E002,101,2024-03-05 12:00:00
E016,E018,315,2024-03-05 13:00:00
E016,E014,65,2024-03-05 14:00:00
E001,E003,58,2024-03-05 16:00:00
E018,E015,142,2024-03-06 10:00:00
E001,E003,73,2024-03-06 13:00:00
E001,E002,57,2024-03-06 14:00:00
E001,E002,41,2024-03-06 15:00:00
E001,E003,74,2024-03-07 13:00:00
E015,E016,85,2024-03-07 13:00:00
E019,E020,516,2024-03-07 15:00:00
E016,E020,216,2024-03-08 09:00:00
E001,E003,98,2024-03-08 10:00:00
E012,E006,30,2024-03-08 11:00:00
E012,E001,8,2024-03-08 11:00:00
E017,E020,190,2024-03-08 14:00:00
E016,E014,84,2024-03-08 14:00:00
E012,E006,30,2024-03-08 16:00:00
E012,E001,6,2024-03-08 16:00:00
E012,E006,16,2024-03-08 16:00:00
E012,E001,26,2024-03-08 20:00:00
E012,E006,19,2024-03-08 21:00:00
E012,E006,12,2024-03-08 22:00:00
E019,E017,218,2024-03-09 10:00:00
E014,E018,352,2024-03-09 12:00:00
E016,E018,381,2024-03-09 12:00:00
E015,E020,130,2024-03-09 13:00:00
E012,E006,9,2024-03-09 16:00:00
E012,E001,13,2024-03-09 17:00:00
E012,E001,7,2024-03-09 17:00:00
E012,E001,11,2024-03-09 18:00:00
E012,E001,6,2024-03-09 20:00:00
E002,E005,12,2024-03-10 00:00:00
E002,E005,15,2024-03-10 00:00:00
E002,E005,10,2024-03-10 01:00:00
E002,E005,17,2024-03-10 01:00:00
E002,E005,12,2024-03-10 02:00:00
E014,E016,254,2024-03-10 08:00:00
E017,E020,560,2024-03-10 08:00:00
E014,E018,493,2024-03-10 08:00:00
E019,E020,314,2024-03-10 10:00:00
E013,E015,193,2024-03-10 10:00:00
E012,E006,6,2024-03-10 12:00:00
E012,E006,20,2024-03-10 13:00:00
E012,E006,9,2024-03-10 13:00:00
E018,E015,131,2024-03-10 13:00:00
E020,E018,304,2024-03-10 15:00:00
E020,E015,313,2024-03-10 16:00:00
E012,E006,14,2024-03-10 16:00:00
E012,E006,5,2024-03-10 16:00:00
E012,E001,10,2024-03-10 16:00:00
E001,E004,28,2024-03-10 22:00:00
E001,E002,11,2024-03-10 22:00:00
E012,E001,7,2024-03-10 22:00:00
E001,E004,12,2024-03-10 22:00:00
E012,E006,30,2024-03-10 22:00:00
E001,E002,29,2024-03-10 22:00:00
E001,E002,22,2024-03-10 23:00:00
E001,E005,30,2024-03-10 23:00:00
E001,E003,21,2024-03-10 23:00:00
E001,E003,31,2024-03-10 23:00:00
E001,E002,27,2024-03-10 23:00:00
E002,E005,7,2024-03-11 00:00:00
E002,E005,8,2024-03-11 00:00:00
E002,E005,7,2024-03-11 01:00:00
E002,E005,10,2024-03-11 02:00:00
E002,E005,17,2024-03-11 02:00:00
E002,E005,18,2024-03-11 02:00:00
E002,E005,19,2024-03-11 02:00:00
E018,E013,300,2024-03-11 11:00:00
E017,E016,60,2024-03-11 12:00:00
E015,E018,146,2024-03-11 16:00:00
E001,E004,17,2024-03-11 22:00:00
E001,E003,18,2024-03-11 22:00:00
E001,E005,18,2024-03-11 22:00:00
E001,E003,30,2024-03-11 23:00:00
E001,E005,38,2024-03-11 23:00:00
E001,E003,33,2024-03-11 23:00:00
E001,E005,38,2024-03-11 23:00:00
E001,E003,39,2024-03-11 23:00:00
E017,E015,275,2024-03-12 11:00:00
E019,E018,595,2024-03-12 12:00:00
E017,E018,478,2024-03-12 14:00:00
E016,E019,531,2024-03-13 12:00:00
E009,E011,12,2024-03-13 20:00:00
E009,E010,13,2024-03-13 20:00:00
E009,E010,15,2024-03-13 20:00:00
E010,E011,13,2024-03-13 20:00:00
E009,E011,13,2024-03-13 20:00:00
E009,E011,10,2024-03-13 21:00:00
E010,E011,13,2024-03-13 21:00:00
E010,E011,15,2024-03-13 21:00:00
E009,E010,15,2024-03-13 22:00:00
E010,E011,15,2024-03-13 22:00:00
